
  0%|          | 0/500 [00:00<?, ?it/s]
[VAL] Best epoch 13 | Best val score -0.861490 | DKL-prior 0.000479 | BCE 0.469693 | auROC 0.8615:   2%|▏         | 12/500 [15:54<9:56:32, 73.34s/it]
[VAL] Best epoch 13 | Best val score -0.861490 | DKL-prior 0.000479 | BCE 0.469693 | auROC 0.8615:   2%|▏         | 12/500 [15:54<9:56:32, 73.34s/it]
[VAL] Best epoch 13 | Best val score -0.861490 | DKL-prior 0.000479 | BCE 0.469693 | auROC 0.8615:   3%|▎         | 13/500 [15:54<9:54:42, 73.27s/it]
[VAL] Best epoch 14 | Best val score -0.864187 | DKL-prior 0.000438 | BCE 0.466609 | auROC 0.8642:   3%|▎         | 13/500 [17:07<9:54:42, 73.27s/it]
[VAL] Best epoch 14 | Best val score -0.864187 | DKL-prior 0.000438 | BCE 0.466609 | auROC 0.8642:   3%|▎         | 13/500 [17:07<9:54:42, 73.27s/it]
[VAL] Best epoch 14 | Best val score -0.864187 | DKL-prior 0.000438 | BCE 0.466609 | auROC 0.8642:   3%|▎         | 14/500 [17:07<9:53:05, 73.22s/it]
[VAL] Best epoch 15 | Best val score -0.865481 | DKL-prior 0.000445 | BCE 0.462707 | auROC 0.8655:   3%|▎         | 14/500 [18:20<9:53:05, 73.22s/it]
[VAL] Best epoch 15 | Best val score -0.865481 | DKL-prior 0.000445 | BCE 0.462707 | auROC 0.8655:   3%|▎         | 14/500 [18:20<9:53:05, 73.22s/it]
[VAL] Best epoch 15 | Best val score -0.865481 | DKL-prior 0.000445 | BCE 0.462707 | auROC 0.8655:   3%|▎         | 15/500 [18:20<9:51:23, 73.16s/it]
[VAL] Best epoch 16 | Best val score -0.873512 | DKL-prior 0.000471 | BCE 0.447473 | auROC 0.8735:   3%|▎         | 15/500 [19:33<9:51:23, 73.16s/it]
[VAL] Best epoch 16 | Best val score -0.873512 | DKL-prior 0.000471 | BCE 0.447473 | auROC 0.8735:   3%|▎         | 15/500 [19:33<9:51:23, 73.16s/it]
[VAL] Best epoch 16 | Best val score -0.873512 | DKL-prior 0.000471 | BCE 0.447473 | auROC 0.8735:   3%|▎         | 16/500 [19:33<9:49:53, 73.13s/it]
[VAL] Best epoch 16 | Best val score -0.873512 | DKL-prior 0.000471 | BCE 0.447473 | auROC 0.8735:   3%|▎         | 17/500 [20:46<9:48:42, 73.13s/it]
[VAL] Best epoch 18 | Best val score -0.877247 | DKL-prior 0.000478 | BCE 0.442358 | auROC 0.8772:   3%|▎         | 17/500 [21:59<9:48:42, 73.13s/it]
[VAL] Best epoch 18 | Best val score -0.877247 | DKL-prior 0.000478 | BCE 0.442358 | auROC 0.8772:   3%|▎         | 17/500 [21:59<9:48:42, 73.13s/it]
[VAL] Best epoch 18 | Best val score -0.877247 | DKL-prior 0.000478 | BCE 0.442358 | auROC 0.8772:   4%|▎         | 18/500 [21:59<9:47:08, 73.09s/it]
[VAL] Best epoch 19 | Best val score -0.883024 | DKL-prior 0.000537 | BCE 0.432601 | auROC 0.8830:   4%|▎         | 18/500 [23:12<9:47:08, 73.09s/it]
[VAL] Best epoch 19 | Best val score -0.883024 | DKL-prior 0.000537 | BCE 0.432601 | auROC 0.8830:   4%|▎         | 18/500 [23:12<9:47:08, 73.09s/it]
[VAL] Best epoch 19 | Best val score -0.883024 | DKL-prior 0.000537 | BCE 0.432601 | auROC 0.8830:   4%|▍         | 19/500 [23:12<9:45:35, 73.05s/it]
[VAL] Best epoch 20 | Best val score -0.884088 | DKL-prior 0.000442 | BCE 0.461775 | auROC 0.8841:   4%|▍         | 19/500 [24:25<9:45:35, 73.05s/it]
[VAL] Best epoch 20 | Best val score -0.884088 | DKL-prior 0.000442 | BCE 0.461775 | auROC 0.8841:   4%|▍         | 19/500 [24:25<9:45:35, 73.05s/it]
[VAL] Best epoch 20 | Best val score -0.884088 | DKL-prior 0.000442 | BCE 0.461775 | auROC 0.8841:   4%|▍         | 20/500 [24:25<9:43:55, 72.99s/it]
[VAL] Best epoch 20 | Best val score -0.884088 | DKL-prior 0.000442 | BCE 0.461775 | auROC 0.8841:   4%|▍         | 21/500 [25:38<9:42:08, 72.92s/it]
[VAL] Best epoch 22 | Best val score -0.892276 | DKL-prior 0.000517 | BCE 0.416636 | auROC 0.8923:   4%|▍         | 21/500 [26:50<9:42:08, 72.92s/it]
[VAL] Best epoch 22 | Best val score -0.892276 | DKL-prior 0.000517 | BCE 0.416636 | auROC 0.8923:   4%|▍         | 21/500 [26:50<9:42:08, 72.92s/it]
[VAL] Best epoch 22 | Best val score -0.892276 | DKL-prior 0.000517 | BCE 0.416636 | auROC 0.8923:   4%|▍         | 22/500 [26:50<9:39:58, 72.80s/it]
[VAL] Best epoch 22 | Best val score -0.892276 | DKL-prior 0.000517 | BCE 0.416636 | auROC 0.8923:   5%|▍         | 23/500 [28:03<9:38:00, 72.71s/it]
[VAL] Best epoch 22 | Best val score -0.892276 | DKL-prior 0.000517 | BCE 0.416636 | auROC 0.8923:   5%|▍         | 24/500 [29:15<9:36:41, 72.69s/it]
[VAL] Best epoch 22 | Best val score -0.892276 | DKL-prior 0.000517 | BCE 0.416636 | auROC 0.8923:   5%|▌         | 25/500 [30:28<9:35:02, 72.64s/it]
[VAL] Best epoch 22 | Best val score -0.892276 | DKL-prior 0.000517 | BCE 0.416636 | auROC 0.8923:   5%|▌         | 26/500 [31:40<9:32:43, 72.50s/it]
[VAL] Best epoch 27 | Best val score -0.900860 | DKL-prior 0.000470 | BCE 0.401138 | auROC 0.9009:   5%|▌         | 26/500 [32:52<9:32:43, 72.50s/it]
[VAL] Best epoch 27 | Best val score -0.900860 | DKL-prior 0.000470 | BCE 0.401138 | auROC 0.9009:   5%|▌         | 26/500 [32:52<9:32:43, 72.50s/it]
[VAL] Best epoch 27 | Best val score -0.900860 | DKL-prior 0.000470 | BCE 0.401138 | auROC 0.9009:   5%|▌         | 27/500 [32:52<9:30:26, 72.36s/it]
[VAL] Best epoch 27 | Best val score -0.900860 | DKL-prior 0.000470 | BCE 0.401138 | auROC 0.9009:   6%|▌         | 28/500 [34:05<9:29:27, 72.39s/it]
[VAL] Best epoch 27 | Best val score -0.900860 | DKL-prior 0.000470 | BCE 0.401138 | auROC 0.9009:   6%|▌         | 29/500 [35:17<9:28:18, 72.40s/it]
[VAL] Best epoch 30 | Best val score -0.901634 | DKL-prior 0.000522 | BCE 0.400566 | auROC 0.9016:   6%|▌         | 29/500 [36:29<9:28:18, 72.40s/it]
[VAL] Best epoch 30 | Best val score -0.901634 | DKL-prior 0.000522 | BCE 0.400566 | auROC 0.9016:   6%|▌         | 29/500 [36:29<9:28:18, 72.40s/it]
[VAL] Best epoch 30 | Best val score -0.901634 | DKL-prior 0.000522 | BCE 0.400566 | auROC 0.9016:   6%|▌         | 30/500 [36:29<9:27:00, 72.38s/it]
[VAL] Best epoch 31 | Best val score -0.905048 | DKL-prior 0.000503 | BCE 0.393887 | auROC 0.9050:   6%|▌         | 30/500 [37:42<9:27:00, 72.38s/it]
[VAL] Best epoch 31 | Best val score -0.905048 | DKL-prior 0.000503 | BCE 0.393887 | auROC 0.9050:   6%|▌         | 30/500 [37:42<9:27:00, 72.38s/it]
[VAL] Best epoch 31 | Best val score -0.905048 | DKL-prior 0.000503 | BCE 0.393887 | auROC 0.9050:   6%|▌         | 31/500 [37:42<9:26:07, 72.43s/it]
[VAL] Best epoch 31 | Best val score -0.905048 | DKL-prior 0.000503 | BCE 0.393887 | auROC 0.9050:   6%|▋         | 32/500 [38:54<9:25:13, 72.46s/it]
[VAL] Best epoch 33 | Best val score -0.909975 | DKL-prior 0.000500 | BCE 0.381852 | auROC 0.9100:   6%|▋         | 32/500 [40:07<9:25:13, 72.46s/it]
[VAL] Best epoch 33 | Best val score -0.909975 | DKL-prior 0.000500 | BCE 0.381852 | auROC 0.9100:   6%|▋         | 32/500 [40:07<9:25:13, 72.46s/it]
[VAL] Best epoch 33 | Best val score -0.909975 | DKL-prior 0.000500 | BCE 0.381852 | auROC 0.9100:   7%|▋         | 33/500 [40:07<9:23:54, 72.45s/it]
[VAL] Best epoch 33 | Best val score -0.909975 | DKL-prior 0.000500 | BCE 0.381852 | auROC 0.9100:   7%|▋         | 34/500 [41:19<9:22:34, 72.43s/it]
[VAL] Best epoch 33 | Best val score -0.909975 | DKL-prior 0.000500 | BCE 0.381852 | auROC 0.9100:   7%|▋         | 35/500 [42:31<9:21:01, 72.39s/it]
[VAL] Best epoch 33 | Best val score -0.909975 | DKL-prior 0.000500 | BCE 0.381852 | auROC 0.9100:   7%|▋         | 36/500 [43:44<9:19:49, 72.39s/it]
[VAL] Best epoch 33 | Best val score -0.909975 | DKL-prior 0.000500 | BCE 0.381852 | auROC 0.9100:   7%|▋         | 37/500 [44:56<9:18:48, 72.42s/it]
[VAL] Best epoch 38 | Best val score -0.912253 | DKL-prior 0.000560 | BCE 0.379348 | auROC 0.9123:   7%|▋         | 37/500 [46:09<9:18:48, 72.42s/it]
[VAL] Best epoch 38 | Best val score -0.912253 | DKL-prior 0.000560 | BCE 0.379348 | auROC 0.9123:   7%|▋         | 37/500 [46:09<9:18:48, 72.42s/it]
[VAL] Best epoch 38 | Best val score -0.912253 | DKL-prior 0.000560 | BCE 0.379348 | auROC 0.9123:   8%|▊         | 38/500 [46:09<9:17:26, 72.40s/it]
[VAL] Best epoch 38 | Best val score -0.912253 | DKL-prior 0.000560 | BCE 0.379348 | auROC 0.9123:   8%|▊         | 39/500 [47:21<9:16:07, 72.38s/it]
[VAL] Best epoch 40 | Best val score -0.914186 | DKL-prior 0.000467 | BCE 0.372237 | auROC 0.9142:   8%|▊         | 39/500 [48:33<9:16:07, 72.38s/it]
[VAL] Best epoch 40 | Best val score -0.914186 | DKL-prior 0.000467 | BCE 0.372237 | auROC 0.9142:   8%|▊         | 39/500 [48:33<9:16:07, 72.38s/it]
[VAL] Best epoch 40 | Best val score -0.914186 | DKL-prior 0.000467 | BCE 0.372237 | auROC 0.9142:   8%|▊         | 40/500 [48:33<9:14:21, 72.31s/it]
[VAL] Best epoch 40 | Best val score -0.914186 | DKL-prior 0.000467 | BCE 0.372237 | auROC 0.9142:   8%|▊         | 41/500 [49:46<9:13:29, 72.35s/it]
[VAL] Best epoch 42 | Best val score -0.914603 | DKL-prior 0.000463 | BCE 0.377386 | auROC 0.9146:   8%|▊         | 41/500 [50:58<9:13:29, 72.35s/it]
[VAL] Best epoch 42 | Best val score -0.914603 | DKL-prior 0.000463 | BCE 0.377386 | auROC 0.9146:   8%|▊         | 41/500 [50:58<9:13:29, 72.35s/it]
[VAL] Best epoch 42 | Best val score -0.914603 | DKL-prior 0.000463 | BCE 0.377386 | auROC 0.9146:   8%|▊         | 42/500 [50:58<9:12:34, 72.39s/it]
[VAL] Best epoch 42 | Best val score -0.914603 | DKL-prior 0.000463 | BCE 0.377386 | auROC 0.9146:   9%|▊         | 43/500 [52:10<9:11:16, 72.38s/it]
[VAL] Best epoch 42 | Best val score -0.914603 | DKL-prior 0.000463 | BCE 0.377386 | auROC 0.9146:   9%|▉         | 44/500 [53:22<9:08:28, 72.17s/it]
[VAL] Best epoch 45 | Best val score -0.914653 | DKL-prior 0.000465 | BCE 0.371952 | auROC 0.9147:   9%|▉         | 44/500 [54:34<9:08:28, 72.17s/it]
[VAL] Best epoch 45 | Best val score -0.914653 | DKL-prior 0.000465 | BCE 0.371952 | auROC 0.9147:   9%|▉         | 44/500 [54:34<9:08:28, 72.17s/it]
[VAL] Best epoch 45 | Best val score -0.914653 | DKL-prior 0.000465 | BCE 0.371952 | auROC 0.9147:   9%|▉         | 45/500 [54:34<9:05:39, 71.95s/it]
